timestamp_utc,model,case_id,domain,expected_status,model_status,model_correct,guard_action,final_action,published_status,published_correct,parse_error,symbolic_status,violations,ollama_ok,ollama_wall_ms,ollama_total_ms,ollama_load_ms,ollama_prompt_eval_ms,ollama_eval_ms,prompt_tokens,generated_tokens,prolog_ok,prolog_wall_ms,pipeline_wall_ms
2026-06-15T19:07:06.925392+00:00,qwen2.5:7b,F05,family,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3747.314,3734.971,73.941,34.73,1621.152,164,108,True,69.763,3819.159
2026-06-15T19:07:10.867564+00:00,qwen2.5:7b,F06,family,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3864.882,3842.333,73.892,34.025,1565.381,166,110,True,73.614,3940.848
2026-06-15T19:07:14.536212+00:00,qwen2.5:7b,D01,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3585.504,3567.162,72.927,39.391,1465.063,167,101,True,74.056,3667.347
2026-06-15T19:07:18.231826+00:00,qwen2.5:7b,D02,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['modified_before_created(doc_2)'],True,3617.585,3604.799,72.017,30.814,1470.226,167,103,True,74.088,3694.239
2026-06-15T19:07:21.894332+00:00,qwen2.5:7b,D03,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3584.466,3563.532,71.871,35.754,1548.287,169,102,True,74.498,3661.17
2026-06-15T19:07:25.657480+00:00,qwen2.5:7b,D04,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['validity_interval_reversed(doc_4)'],True,3684.937,3666.959,74.57,38.995,1590.375,169,105,True,69.267,3761.655
2026-06-15T19:07:32.097368+00:00,qwen2.5:7b,D05,document,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,6363.879,6334.305,72.58,55.266,2695.643,213,180,True,71.994,6438.479
2026-06-15T19:07:38.011629+00:00,qwen2.5:7b,D06,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['modified_before_created(doc_6)', 'validity_interval_reversed(doc_6)']",True,5832.329,5830.217,74.117,56.258,2456.957,213,167,True,77.951,5912.915
2026-06-15T19:07:43.920516+00:00,qwen2.5:7b,A01,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5827.772,5812.634,73.02,40.38,2571.941,205,170,True,75.612,5906.355
2026-06-15T19:07:49.999785+00:00,qwen2.5:7b,A02,archive,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['archival_interval_reversed(unit_2)'],True,6000.401,5998.029,72.639,39.909,2586.008,203,173,True,75.028,6077.62
2026-06-15T19:07:55.880944+00:00,qwen2.5:7b,A03,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['invalid_access_level(unit_3,internal)']",True,5798.286,5787.913,77.861,39.974,2484.705,204,169,True,76.294,5879.576
2026-06-15T19:08:00.609375+00:00,qwen2.5:7b,A04,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['missing_reference(unit_4)'],True,4652.301,4650.014,73.314,38.321,1922.011,182,137,True,72.243,4726.603
2026-06-15T19:08:05.590281+00:00,qwen2.5:7b,A05,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['missing_title(unit_5)'],True,4903.37,4886.279,73.362,43.188,1938.701,189,144,True,73.911,4979.413
2026-06-15T19:08:11.354848+00:00,qwen2.5:7b,A06,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5686.46,5683.491,73.835,45.053,2234.832,203,168,True,69.452,5763.025
2026-06-15T19:08:14.270120+00:00,qwen2.5:7b,R01,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,2838.719,2819.012,72.582,36.521,1094.207,149,85,True,72.911,2913.685
2026-06-15T19:08:17.219112+00:00,qwen2.5:7b,R02,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['below_minimum_age(pawel,permit_b)']",True,2874.687,2872.794,74.522,29.461,1125.469,151,86,True,70.877,2947.564
2026-06-15T19:08:21.550840+00:00,qwen2.5:7b,R03,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,4255.262,4248.157,67.785,44.83,1784.96,181,126,True,73.253,4330.33
2026-06-15T19:08:25.825605+00:00,qwen2.5:7b,R04,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['submitted_after_deadline(application_4)'],True,4196.92,4196.189,74.016,43.401,1571.831,181,123,True,73.23,4272.784
2026-06-15T19:08:30.354837+00:00,qwen2.5:7b,R05,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['negative_fee(application_5)'],True,4449.779,4447.976,73.508,39.397,1916.086,179,128,True,70.425,4527.765
2026-06-15T19:08:36.190303+00:00,qwen2.5:7b,R06,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5759.151,5757.185,74.741,49.023,2456.18,207,172,True,72.321,5833.989
2026-06-15T19:08:38.114306+00:00,llama3.2:latest,P01,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1848.992,1847.61,92.75,20.67,636.545,152,76,True,69.879,1920.899
2026-06-15T19:08:40.530064+00:00,llama3.2:latest,P02,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['death_before_birth(anna_nowak)'],True,2342.405,2332.807,93.133,15.853,714.455,148,92,True,69.452,2414.087
2026-06-15T19:08:42.710871+00:00,llama3.2:latest,P03,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['birth_in_future(piotr_zielinski)'],True,2107.041,2105.951,92.315,16.94,652.644,135,83,True,69.002,2179.315
2026-06-15T19:08:45.202736+00:00,llama3.2:latest,P04,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['implausible_lifespan(maria_wisniewska)'],True,2414.334,2401.572,95.552,25.446,806.115,156,88,True,71.354,2490.372
2026-06-15T19:08:47.225663+00:00,llama3.2:latest,P05,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1950.797,1949.391,91.906,26.466,637.237,152,76,True,68.759,2021.332
2026-06-15T19:08:48.825853+00:00,llama3.2:latest,P06,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1521.654,1520.114,92.224,19.759,531.708,135,59,True,70.958,1598.408
2026-06-15T19:08:51.277370+00:00,llama3.2:latest,F01,family,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2368.904,2355.988,92.435,24.942,856.141,157,89,True,74.267,2448.966
2026-06-15T19:08:53.113254+00:00,llama3.2:latest,F02,family,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['self_parent(celina)', 'parent_too_young(celina,celina)']",True,1756.36,1755.1,91.38,27.559,598.706,144,68,True,75.78,1833.902
2026-06-15T19:08:55.439013+00:00,llama3.2:latest,F03,family,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['parent_too_young(daria,eryk)']",True,2245.924,2236.329,91.22,27.349,741.054,157,86,True,75.977,2324.132
2026-06-15T19:08:57.835622+00:00,llama3.2:latest,F04,family,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['parent_born_after_child(filip,grazyna)', 'parent_too_young(filip,grazyna)']",True,2320.749,2319.385,90.444,16.018,863.59,159,85,True,71.546,2394.187
2026-06-15T19:09:00.173958+00:00,llama3.2:latest,F05,family,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2259.95,2258.67,91.909,26.42,836.497,155,84,True,71.604,2336.302
2026-06-15T19:09:02.623301+00:00,llama3.2:latest,F06,family,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2372.304,2353.871,93.683,13.373,730.718,157,86,True,72.042,2447.123
2026-06-15T19:09:04.664770+00:00,llama3.2:latest,D01,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1959.744,1943.674,98.567,25.829,681.707,154,71,True,77.157,2039.622
2026-06-15T19:09:06.719044+00:00,llama3.2:latest,D02,document,invalid,valid,False,correct,corrected,invalid,True,,invalid,['modified_before_created(doc_2)'],True,1974.227,1972.125,92.144,23.299,713.919,154,71,True,73.554,2052.656
2026-06-15T19:09:08.782172+00:00,llama3.2:latest,D03,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1981.765,1980.427,91.117,26.118,655.412,156,73,True,76.917,2061.292
2026-06-15T19:09:11.020064+00:00,llama3.2:latest,D04,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['validity_interval_reversed(doc_4)'],True,2158.421,2140.73,89.451,24.187,688.937,156,79,True,75.513,2236.116
2026-06-15T19:09:14.370361+00:00,llama3.2:latest,D05,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3273.972,3255.048,106.86,28.836,1197.189,192,119,True,72.142,3348.532
2026-06-15T19:09:17.680949+00:00,llama3.2:latest,D06,document,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['modified_before_created(doc_6)', 'validity_interval_reversed(doc_6)']",True,3228.342,3225.418,91.613,35.051,1105.514,192,119,True,74.275,3309.0
2026-06-15T19:09:21.193666+00:00,llama3.2:latest,A01,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3433.162,3431.871,89.23,38.319,1327.474,193,127,True,75.063,3510.51
2026-06-15T19:09:24.588374+00:00,llama3.2:latest,A02,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['archival_interval_reversed(unit_2)'],True,3318.058,3300.417,93.65,35.252,1198.239,191,125,True,69.882,3393.072
2026-06-15T19:09:27.915751+00:00,llama3.2:latest,A03,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['invalid_access_level(unit_3,internal)']",True,3249.098,3247.187,89.349,30.522,1222.314,192,126,True,73.847,3325.278
2026-06-15T19:09:30.636457+00:00,llama3.2:latest,A04,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['missing_reference(unit_4)'],True,2645.439,2643.822,93.222,29.581,861.692,173,104,True,71.676,2718.869
2026-06-15T19:09:33.644898+00:00,llama3.2:latest,A05,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['missing_title(unit_5)'],True,2927.46,2906.24,95.35,30.698,1071.476,177,108,True,76.824,3006.552
2026-06-15T19:09:37.078855+00:00,llama3.2:latest,A06,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3354.159,3336.648,90.1,38.586,1296.774,191,122,True,75.67,3432.067
2026-06-15T19:09:38.935411+00:00,llama3.2:latest,R01,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1780.268,1771.904,94.93,13.449,551.466,142,68,True,72.211,1854.777
2026-06-15T19:09:41.331395+00:00,llama3.2:latest,R02,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['below_minimum_age(pawel,permit_b)']",True,2319.447,2300.237,93.304,22.019,827.579,144,85,True,73.013,2394.245
2026-06-15T19:09:43.902982+00:00,llama3.2:latest,R03,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,2496.425,2474.28,96.336,29.938,934.468,166,89,True,71.699,2569.902
2026-06-15T19:09:46.340792+00:00,llama3.2:latest,R04,administration,invalid,valid,False,correct,corrected,invalid,True,,invalid,['submitted_after_deadline(application_4)'],True,2355.473,2354.032,90.784,25.94,773.46,166,89,True,73.678,2435.118
2026-06-15T19:09:48.794541+00:00,llama3.2:latest,R05,administration,invalid,valid,False,reject,rejected,,,,invalid,['negative_fee(application_5)'],True,2380.828,2379.534,89.275,26.602,798.257,166,89,True,68.543,2451.426
2026-06-15T19:09:52.221467+00:00,llama3.2:latest,R06,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3349.673,3326.72,90.89,36.472,1318.987,192,123,True,73.183,3425.218
